"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB"
"86","FDV56",16.1,"Regular",0.013593151,"Fruits and Vegetables",108.9596,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"87","FDT59",13.65,"LF",0.015911432,"Breads",230.5668,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"88","FDB23",19.2,"Regular",0.005588601,"Starchy Foods",225.5062,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"89","FDR49",8.71,"Low Fat",0.139510771,"Canned",46.2376,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"90","FDB03",17.75,"Regular",0.262504325,"Dairy",242.2538,"OUT010",1998,"High","Tier 3","Grocery Store",21
"91","FDN39",19.35,"Regular",0,"Meat",165.7816,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"92","FDX02",25.3559806917394,"Low Fat",0.056783774,"Dairy",223.1404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"93","FDQ16",6.46548237986533,"Low Fat",0.041536279,"Frozen Foods",107.7912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"94","FDU35",6.44,"Low Fat",0.079538056,"Breads",99.47,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"95","NCT29",12.6,"Low Fat",0.064057374,"Health and Hygiene",122.1414,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"96","FDZ27",7.935,"Low Fat",0.017156262,"Dairy",48.135,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"97","FDN57",18.25,"Low Fat",0.054540968,"Snack Foods",140.4154,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"98","FDA03",18.5,"Regular",0.045648973,"Dairy",145.6102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"99","FDZ36",6.035,"Regular",0.065917194,"Baking Goods",185.724,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"100","NCU05",11.8,"Low Fat",0.058687359,"Health and Hygiene",81.1618,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"101","FDT39",6.26,"Regular",0.009908113,"Meat",151.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"102","FDK60",16.5,"Regular",0.094395215,"Baking Goods",97.2068,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"103","FDZ25",15.7,"Regular",0.02777326,"Canned",169.279,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"104","FDG12",6.635,"reg",0.006326106,"Baking Goods",122.1098,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"105","DRB01",10.6360352547093,"low fat",0.143990546,"Soft Drinks",191.553,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"106","NCC43",11.842598732463,"Low Fat",0.09233359,"Household",250.6066,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"107","FDX13",10.1401334358432,"Low Fat",0.083661793,"Canned",248.6092,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"108","FDM22",14,"Regular",0.042022999,"Snack Foods",53.064,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"109","FDJ03",19.6593643932975,"Regular",0.072044336,"Dairy",48.8692,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"110","FDU14",17.75,"Low Fat",0,"Dairy",249.775,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"111","FDB33",17.75,"Low Fat",0.024404214,"Fruits and Vegetables",159.0262,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"112","FDP27",8.155,"Low Fat",0.119450639,"Meat",190.653,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"113","FDO38",17.25,"Low Fat",0.121917641,"Canned",76.6986,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"114","FDE28",12.7021185190452,"Regular",0.131905128,"Frozen Foods",232.0668,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"115","FDO27",6.175,"Regular",0.179043614,"Meat",95.3752,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"116","DRL23",15.8862540495869,"Low Fat",0.0152302,"Hard Drinks",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"117","FDS28",8.18,"Regular",0.082401592,"Frozen Foods",55.9588,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"118","FDX24",8.355,"Low Fat",0.013917468,"Baking Goods",92.5462,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"119","FDZ02",6.905,"Regular",0.038140213,"Dairy",96.3726,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"120","FDL46",20.35,"Low Fat",0.054166556,"Snack Foods",116.9466,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"121","FDS60",16.3008801538648,"Low Fat",0.03229139,"Baking Goods",178.766,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"122","NCO06",19.25,"Low Fat",0.108641498,"Household",33.0558,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"123","FDO16",5.48,"Low Fat",0.015105338,"Frozen Foods",84.625,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"124","FDC60",5.425,"Regular",0.114650377,"Baking Goods",87.3514,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"125","FDA48",12.1,"Low Fat",0.115342009,"Baking Goods",220.2114,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"126","FDZ36",12.6431302183554,"Regular",0,"Baking Goods",186.424,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"127","FDK27",11,"Low Fat",0.00896468,"Meat",120.6756,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"128","FDW23",5.765,"Low Fat",0.082346376,"Baking Goods",38.8164,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"129","FDM14",13.8,"Low Fat",0.013318,"Canned",110.1254,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"130","FDM14",13.8,"Low Fat",0.01325293,"Canned",108.2254,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"131","FDW60",5.44,"Regular",0.017131453,"Baking Goods",177.837,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"132","FDE21",12.8,"Low Fat",0.022925594,"Fruits and Vegetables",116.4492,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"133","NCM42",6.13,"Low Fat",0.028316137,"Household",109.3912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"134","FDY59",8.195,"Low Fat",0.052562923,"Baking Goods",93.9462,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"135","DRI49",14.15,"Low Fat",0.1837926,"Soft Drinks",81.3276,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"136","FDT28",4.34861602902127,"Low Fat",0.111296158,"Frozen Foods",151.2708,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"137","FDQ22",16.75,"Low Fat",0.029860799,"Snack Foods",39.5822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"138","FDR60",14.3,"LF",0.130617879,"Baking Goods",76.5328,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"139","FDC50",19.1127826302838,"LF",0.238990225,"Canned",94.7094,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"140","FDV24",5.635,"Low Fat",0.103186396,"Baking Goods",151.805,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"141","DRF48",5.73,"Low Fat",0,"Soft Drinks",188.3898,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"142","FDQ47",7.155,"Regular",0.168186376,"Breads",36.5874,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"143","DRN36",15.2,"low fat",0.050255855,"Soft Drinks",97.3752,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"144","NCY06",15.25,"Low Fat",0.061173235,"Household",128.5968,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"145","FDE52",10.395,"Regular",0.029881147,"Dairy",89.5514,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"146","NCB54",8.76,"Low Fat",0.050154219,"Health and Hygiene",126.9336,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"147","NCF31",9.13,"Low Fat",0.051837621,"Household",152.6024,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"148","FDJ08",16.2535854510887,"Low Fat",0.11013617,"Fruits and Vegetables",189.7846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"149","NCC07",19.6,"Low Fat",0.024086626,"Household",106.0964,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"150","NCD19",17.6545758686243,"Low Fat",0.013115567,"Household",53.7614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"151","FDL46",20.35,"Low Fat",0,"Snack Foods",118.9466,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"152","FDM20",10,"Low Fat",0.038764258,"Fruits and Vegetables",246.2144,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"153","NCI06",11.3,"Low Fat",0.07986963,"Household",180.466,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"154","DRM11",6.57,"Low Fat",0.066057085,"Hard Drinks",259.3278,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"155","NCH07",13.15,"Low Fat",0.093044518,"Household",158.4604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"156","FDS23",4.635,"Low Fat",0.140771867,"Breads",129.4994,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"157","FDO49",10.6,"Regular",0.033186809,"Breakfast",49.1008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"158","FDS35",9.3,"Low Fat",0.11139344,"Breads",65.2826,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"159","DRK39",7.02,"Low Fat",0.049966527,"Dairy",82.525,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"160","DRI39",13.8,"Low Fat",0.097212998,"Dairy",58.293,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"161","FDV04",7.825,"Regular",0.150863781,"Frozen Foods",158.0288,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"162","NCN14",19.1,"Low Fat",0.091900406,"Others",182.5608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"163","FDH08",7.51,"Low Fat",0.017414576,"Fruits and Vegetables",231.101,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"164","FDS20",8.85,"Low Fat",0.053866912,"Fruits and Vegetables",183.0292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"165","FDV40",17.35,"Low Fat",0.014714625,"Frozen Foods",75.4038,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"166","FDZ48",17.75,"Low Fat",0.127140836,"Baking Goods",110.5544,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"167","FDS24",13.0869266807822,"Regular",0.061923154,"Baking Goods",87.5514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"168","FDK44",16.6,"Low Fat",0.122417514,"Fruits and Vegetables",174.3738,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"169","FDS48",15.15,"Low Fat",0,"Baking Goods",150.4708,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"170","FDK26",5.46,"Regular",0.053858378,"Canned",186.924,"OUT010",1998,"High","Tier 3","Grocery Store",21
"171","FDD23",9.5,"Regular",0.048784266,"Starchy Foods",188.5898,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"172","NCH54",13.5,"LF",0.073080167,"Household",161.492,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"173","NCP14",8.275,"Low Fat",0.184602443,"Household",106.5306,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"174","FDM60",10.8,"Regular",0.080582001,"Baking Goods",39.4138,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"175","FDV24",5.635,"Low Fat",0.103856487,"Baking Goods",151.305,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"176","FDH08",7.51,"Low Fat",0.017500079,"Fruits and Vegetables",228.801,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"177","FDS12",10.4316383461148,"Low Fat",0.173275373,"Baking Goods",127.6362,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"178","FDR39",12.5632651576893,"Low Fat",0.083393481,"Meat",180.6292,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"179","FDP12",12.0783467092695,"Regular",0.0450476,"Baking Goods",36.4874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"180","DRF60",10.6708723316365,"Low Fat",0.051816577,"Soft Drinks",236.4564,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"181","FDC09",15.5,"Regular",0.026297031,"Fruits and Vegetables",102.7332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"182","FDF50",4.905,"low fat",0.117808305,"Canned",198.5768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"183","FDG28",9.285,"Regular",0.049270974,"Frozen Foods",243.9144,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"184","NCE19",8.97,"Low Fat",0.093540749,"Household",55.4956,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"185","NCM53",18.75,"Low Fat",0.087105823,"Health and Hygiene",108.228,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"186","NCN18",8.895,"Low Fat",0,"Household",110.9544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"187","FDF32",16.35,"Low Fat",0.068068082,"Fruits and Vegetables",199.1426,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"188","FDF11",10.195,"Regular",0.01761655,"Starchy Foods",239.4538,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"189","DRI59",9.5,"Low Fat",0.040898157,"Hard Drinks",225.2088,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"190","NCG54",12.1,"Low Fat",0.079791176,"Household",169.5106,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"191","FDM44",12.5,"Low Fat",0.031049674,"Fruits and Vegetables",101.399,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"192","FDT57",15.2,"Low Fat",0.019112323,"Snack Foods",236.2248,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"193","FDV24",5.635,"Low Fat",0.103272336,"Baking Goods",151.205,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"194","FDI50",13.8761405721279,"Regular",0.054001526,"Canned",227.8352,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"195","FDS09",8.895,"Regular",0.081073148,"Snack Foods",51.2008,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"196","NCC31",18.7064987217385,"Low Fat",0.019774239,"Household",154.5972,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"197","FDQ07",13.0951628134396,"Regular",0.153038134,"Fruits and Vegetables",219.0456,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"198","FDC22",6.89,"Regular",0.13720009,"Snack Foods",191.882,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"199","FDZ56",16.25,"Low Fat",0.02573698,"Fruits and Vegetables",169.3474,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"200","FDZ40",17.0662016665333,"Low Fat",0.070354806,"Frozen Foods",53.9298,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"201","FDS46",6.89638442941104,"Regular",0.047028483,"Snack Foods",118.3782,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"202","DRD24",13.85,"Low Fat",0.030857538,"Soft Drinks",140.6154,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"203","FDV45",16.75,"Low Fat",0.045302246,"Snack Foods",189.1556,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"204","FDL26",18,"Low Fat",0.073341257,"Canned",155.7972,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"205","FDA56",9.21,"Low Fat",0.00880049,"Fruits and Vegetables",123.0414,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
