"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Item_Outlet_Sales"
"18","DRC12",17.85,"Low Fat",0.037980963,"Soft Drinks",192.2188,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3222.25618782013
"19","NCM42",12.5,"Low Fat",0.028184344,"Household",109.6912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2414.01499409354
"20","FDA46",13.6,"Low Fat",0.19308623,"Snack Foods",193.7136,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,457.962990369778
"21","FDA31",7.1,"Low Fat",0.109920138,"Fruits and Vegetables",175.008,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2958.34025587755
"22","NCJ31",19.2,"Low Fat",0.182619235,"Others",239.9196,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4039.95142060294
"23","FDG52",13.65,"Low Fat",0.065630844,"Frozen Foods",47.7402,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,877.067238869287
"24","NCL19",12.5,"Low Fat",0.027447057,"Others",142.347,"OUT019",1985,"Small","Tier 1","Grocery Store",34,304.488090162119
"25","FDS10",19.2,"Low Fat",0.035178935,"Snack Foods",180.7318,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3153.75462358501
"26","FDX22",6.785,"Regular",0.038455125,"Snack Foods",209.4928,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,613.774252228147
"27","NCF19",13,"Low Fat",0.035102094,"Household",47.6034,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,798.811671208832
"28","NCE06",5.825,"Low Fat",0.091485232,"Household",161.3894,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2407.50457658904
"29","DRC27",13.8,"Low Fat",0.058102469,"Dairy",244.6802,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3489.22068871504
"30","FDE21",12.8,"Low Fat",0.022940349,"Fruits and Vegetables",116.5492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2295.14292450158
"31","NCR42",12.5,"Low Fat",0.06737681,"Household",32.09,"OUT019",1985,"Small","Tier 1","Grocery Store",34,167.047776763277
"32","FDX51",9.5,"Regular",0.022148582,"Meat",194.9452,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3095.63791537764
"33","NCR06",12.5,"Low Fat",0.006792707,"Household",42.4112,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,696.35909792574
"34","FDU31",12.5,"Regular",0.024870035,"Fruits and Vegetables",217.7508,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5312.93080232966
"35","FDU59",5.78,"Low Fat",0.096931426,"Breads",164.2552,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2535.67745542436
"36","FDR03",12.5,"Regular",0.008693632,"Meat",205.098,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5209.45505918859
"37","FDS49",12.5,"Low Fat",0.078961284,"Canned",80.3644,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2338.194917005
"38","FDD48",10.395,"Low Fat",0.050479463,"Baking Goods",114.0176,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,206.956272771909
"39","NCF18",18.35,"Low Fat",0.089485918,"Household",192.1504,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3065.81495630635
"40","NCD43",12.5,"Low Fat",0.01594238,"Household",103.3964,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2364.29586588156
"41","NCD54",21.1,"Low Fat",0.029127115,"Household",143.3786,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2014.82101866726
"42","FDY19",19.75,"Low Fat",0.069236421,"Fruits and Vegetables",116.6466,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,242.347296278807
"43","NCY54",8.43,"Low Fat",0.178699961,"Household",173.9422,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2879.51785353381
"44","NCL19",15.35,"Low Fat",0.015740089,"Others",144.847,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2025.32774323336
"45","FDP23",6.71,"Low Fat",0.059565107,"Breads",217.2166,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,666.504841110378
"46","FDC26",10.195,"Low Fat",0.126277921,"Canned",112.1886,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1564.85375556444
"47","FDR14",11.65,"Low Fat",0.19308623,"Dairy",55.8298,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,179.915840123562
"48","NCS41",12.85,"Low Fat",0.053433908,"Health and Hygiene",183.2608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2936.73098586154
"49","FDF41",12.15,"Low Fat",0.131155007,"Frozen Foods",248.146,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4215.18136511049
"50","FDU34",18.25,"Low Fat",0.075194929,"Snack Foods",124.9046,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2279.3134601324
"51","DRH11",5.98,"Low Fat",0.075557965,"Hard Drinks",57.0614,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1046.05537410656
"52","FDM03",12.65,"Low Fat",0.122928415,"Meat",106.6938,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1868.63236630769
"53","FDS31",13.1,"Regular",0.044442342,"Fruits and Vegetables",181.0318,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3085.57672998179
"54","FDJ20",20.7,"Regular",0.100741569,"Fruits and Vegetables",122.3388,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2297.46514923755
"55","FDV44",12.5,"Regular",0.039651481,"Fruits and Vegetables",188.7188,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4831.63474349647
"56","FDG02",7.855,"Low Fat",0.011278673,"Canned",188.8188,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3040.61108005728
"57","FDA09",13.35,"Regular",0,"Snack Foods",179.666,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3791.53536256468
"58","FDT04",17.25,"Low Fat",0.106952661,"Frozen Foods",38.3822,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,658.441994876261
"59","FDL58",12.5,"Regular",0.129825457,"Snack Foods",263.2568,"OUT019",1985,"Small","Tier 1","Grocery Store",34,590.148759530614
"60","FDE52",10.395,"Regular",0.029947409,"Dairy",90.1514,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1305.73398384022
"61","FDW12",8.315,"Regular",0.035565457,"Baking Goods",144.8444,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2423.93146902578
"62","FDL51",20.7,"Regular",0.047760002,"Dairy",214.9876,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3779.95950833616
"63","NCY42",12.5,"Low Fat",0.015089147,"Household",141.347,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2932.49352640526
"64","FDR07",21.35,"Low Fat",0.07818366,"Fruits and Vegetables",96.8094,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1673.10771436275
"65","FDN40",5.88,"Low Fat",0.086632125,"Frozen Foods",152.6998,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2230.19414919284
"66","FDB35",12.5,"Regular",0.064306056,"Starchy Foods",90.3804,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2434.84948051879
"67","FDA22",7.435,"Low Fat",0.08493006,"Starchy Foods",165.8158,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3276.46611201689
"68","NCL06",14.65,"Low Fat",0.072066634,"Household",262.5594,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3221.69208829405
"69","FDI35",14,"Low Fat",0.041256807,"Starchy Foods",181.2634,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3407.93827580172
"70","NCW42",18.2,"Low Fat",0.058587558,"Household",221.6456,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2792.54920020416
"71","NCX06",17.6,"Low Fat",0.015711434,"Household",180.0976,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3289.5353296552
"72","FDC37",12.5,"Low Fat",0.032714163,"Baking Goods",108.1938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2459.76089052717
"73","FDZ14",7.71,"Regular",0.047782552,"Dairy",122.3756,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1688.71804847261
"74","DRG49",7.81,"Low Fat",0.067560171,"Soft Drinks",245.2486,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3956.42345506326
"75","NCG06",16.35,"Low Fat",0.029505077,"Household",256.2646,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3666.66041386888
"76","DRC36",13,"Regular",0.045076104,"Soft Drinks",173.7054,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2883.86614447307
"77","FDV21",12.5,"Low Fat",0.19308623,"Snack Foods",124.8704,"OUT019",1985,"Small","Tier 1","Grocery Store",34,385.057886906419
"78","FDB53",13.35,"Low Fat",0.139452413,"Frozen Foods",148.6392,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2581.51585771847
"79","DRP47",12.5,"Low Fat",0.19308623,"Hard Drinks",252.4382,"OUT019",1985,"Small","Tier 1","Grocery Store",34,645.050039350544
"80","FDA14",16.1,"Low Fat",0.065128984,"Dairy",145.176,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2228.17111573123
"81","DRC24",17.85,"Low Fat",0.024816585,"Soft Drinks",152.6998,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2569.48317936581
"82","FDW21",5.34,"Regular",0.005988175,"Snack Foods",100.6358,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1443.04893835322
"83","NCH29",5.51,"Low Fat",0.034473804,"Health and Hygiene",97.3726,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2005.94182859213
"84","FDU58",6.61,"Regular",0.028987582,"Snack Foods",188.6898,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3015.72312065617
"85","FDY27",6.38,"Low Fat",0.032078604,"Dairy",177.6344,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2647.21247773648
"86","FDV56",16.1,"Regular",0.013593151,"Fruits and Vegetables",108.9596,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1930.67526201516
"87","FDT59",13.65,"Low Fat",0.015911432,"Breads",230.5668,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,4234.59669862515
"88","FDB23",19.2,"Regular",0.005588601,"Starchy Foods",225.5062,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3632.61630656186
"89","FDR49",8.71,"Low Fat",0.139510771,"Canned",46.2376,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,744.326846078567
"90","FDB03",17.75,"Regular",0.19308623,"Dairy",242.2538,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,529.807559567483
"91","FDN39",19.35,"Regular",0,"Meat",165.7816,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2676.23979538299
"92","FDX02",12.5,"Low Fat",0.056783774,"Dairy",223.1404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5391.61270149862
"93","FDQ16",12.5,"Low Fat",0.041536279,"Frozen Foods",107.7912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2622.6485634995
"94","FDU35",6.44,"Low Fat",0.079538056,"Breads",99.47,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1528.72038746296
"95","NCT29",12.6,"Low Fat",0.064057374,"Health and Hygiene",122.1414,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2026.1589395296
"96","FDZ27",7.935,"Low Fat",0.017156262,"Dairy",48.135,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,965.662678554977
"97","FDN57",18.25,"Low Fat",0.054540968,"Snack Foods",140.4154,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2248.26651477072
"98","FDA03",18.5,"Regular",0.045648973,"Dairy",145.6102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2063.87706661444
"99","FDZ36",6.035,"Regular",0.065917194,"Baking Goods",185.724,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2911.94071621245
"100","NCU05",11.8,"Low Fat",0.058687359,"Health and Hygiene",81.1618,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1281.38091838587
"101","FDT39",6.26,"Regular",0.009908113,"Meat",151.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2352.59053039275
"102","FDK60",16.5,"Regular",0.094395215,"Baking Goods",97.2068,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1716.13202327139
"103","FDZ25",15.7,"Regular",0.02777326,"Canned",169.279,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3150.3957042811
"104","FDG12",6.635,"Regular",0.006326106,"Baking Goods",122.1098,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2457.37579419791
"105","DRB01",12.5,"Low Fat",0.143990546,"Soft Drinks",191.553,"OUT019",1985,"Small","Tier 1","Grocery Store",34,551.26265806153
"106","NCC43",12.5,"Low Fat",0.09233359,"Household",250.6066,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5725.48726791264
"107","FDX13",12.5,"Low Fat",0.083661793,"Canned",248.6092,"OUT019",1985,"Small","Tier 1","Grocery Store",34,583.038016280433
"108","FDM22",14,"Regular",0.042022999,"Snack Foods",53.064,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1001.04571604176
"109","FDJ03",12.5,"Regular",0.072044336,"Dairy",48.8692,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,1846.10976271007
"110","FDU14",17.75,"Low Fat",0,"Dairy",249.775,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3852.26189309617
"111","FDB33",17.75,"Low Fat",0.024404214,"Fruits and Vegetables",159.0262,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,432.114285225317
"112","FDP27",8.155,"Low Fat",0.119450639,"Meat",190.653,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3114.72967085681
"113","FDO38",17.25,"Low Fat",0.121917641,"Canned",76.6986,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,207.952559208439
"114","FDE28",12.5,"Regular",0.131905128,"Frozen Foods",232.0668,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5471.61976755491
"115","FDO27",6.175,"Regular",0.179043614,"Meat",95.3752,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1570.90861964938
"116","DRL23",12.5,"Low Fat",0.0152302,"Hard Drinks",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2438.78898028987
"117","FDS28",8.18,"Regular",0.082401592,"Frozen Foods",55.9588,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1037.87484348687
"118","FDX24",8.355,"Low Fat",0.013917468,"Baking Goods",92.5462,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1284.19936820426
"119","FDZ02",6.905,"Regular",0.038140213,"Dairy",96.3726,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1536.69174020629
"120","FDL46",20.35,"Low Fat",0.054166556,"Snack Foods",116.9466,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1958.74051019627
"121","FDS60",12.5,"Low Fat",0.03229139,"Baking Goods",178.766,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4187.8731650964
"122","NCO06",19.25,"Low Fat",0.108641498,"Household",33.0558,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,559.954366946221
"123","FDO16",5.48,"Low Fat",0.015105338,"Frozen Foods",84.625,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1590.75245051343
"124","FDC60",5.425,"Regular",0.114650377,"Baking Goods",87.3514,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1595.59429542382
"125","FDA48",12.1,"Low Fat",0.115342009,"Baking Goods",220.2114,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2829.54208928416
"126","FDZ36",12.5,"Regular",0,"Baking Goods",186.424,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4341.80991807787
"127","FDK27",11,"Low Fat",0.00896468,"Meat",120.6756,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1972.23384765671
"128","FDW23",5.765,"Low Fat",0.082346376,"Baking Goods",38.8164,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,658.31242081718
"129","FDM14",13.8,"Low Fat",0.013318,"Canned",110.1254,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1398.19674606993
"130","FDM14",13.8,"Low Fat",0.01325293,"Canned",108.2254,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1751.47552128949
"131","FDW60",5.44,"Regular",0.017131453,"Baking Goods",177.837,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2724.50251505629
"132","FDE21",12.8,"Low Fat",0.022925594,"Fruits and Vegetables",116.4492,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2138.24438210334
"133","NCM42",6.13,"Low Fat",0.028316137,"Household",109.3912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1954.81481411001
"134","FDY59",8.195,"Low Fat",0.052562923,"Baking Goods",93.9462,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,188.477748923636
"135","DRI49",14.15,"Low Fat",0.1837926,"Soft Drinks",81.3276,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1319.02204933004
"136","FDT28",12.5,"Low Fat",0.111296158,"Frozen Foods",151.2708,"OUT019",1985,"Small","Tier 1","Grocery Store",34,438.010894036625
"137","FDQ22",16.75,"Low Fat",0.029860799,"Snack Foods",39.5822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,703.584064653371
"138","FDR60",14.3,"Low Fat",0.130617879,"Baking Goods",76.5328,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1238.52116523748
"139","FDC50",12.5,"Low Fat",0.19308623,"Canned",94.7094,"OUT019",1985,"Small","Tier 1","Grocery Store",34,295.081292066777
"140","FDV24",5.635,"Low Fat",0.103186396,"Baking Goods",151.805,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2309.27539650713
"141","DRF48",5.73,"Low Fat",0,"Soft Drinks",188.3898,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,564.855139043941
"142","FDQ47",7.155,"Regular",0.168186376,"Breads",36.5874,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,959.850382456714
"143","DRN36",15.2,"Low Fat",0.050255855,"Soft Drinks",97.3752,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1542.87333659959
"144","NCY06",15.25,"Low Fat",0.061173235,"Household",128.5968,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2241.3019862127
"145","FDE52",10.395,"Regular",0.029881147,"Dairy",89.5514,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1441.54415833762
"146","NCB54",8.76,"Low Fat",0.050154219,"Health and Hygiene",126.9336,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1792.88231340868
"147","NCF31",9.13,"Low Fat",0.051837621,"Household",152.6024,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2525.26034034791
"148","FDJ08",12.5,"Low Fat",0.11013617,"Fruits and Vegetables",189.7846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4997.01993105492
"149","NCC07",19.6,"Low Fat",0.024086626,"Household",106.0964,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2094.19534005211
"150","NCD19",12.5,"Low Fat",0.013115567,"Household",53.7614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,1879.61560473617
"151","FDL46",20.35,"Low Fat",0,"Snack Foods",118.9466,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1924.01736604653
"152","FDM20",10,"Low Fat",0.038764258,"Fruits and Vegetables",246.2144,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,4150.79106408308
"153","NCI06",11.3,"Low Fat",0.07986963,"Household",180.466,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,460.302405892634
"154","DRM11",6.57,"Low Fat",0.066057085,"Hard Drinks",259.3278,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3486.47624189347
"155","NCH07",13.15,"Low Fat",0.093044518,"Household",158.4604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2509.876227771
"156","FDS23",4.635,"Low Fat",0.140771867,"Breads",129.4994,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1984.10127416762
"157","FDO49",10.6,"Regular",0.033186809,"Breakfast",49.1008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,711.38541274476
"158","FDS35",9.3,"Low Fat",0.11139344,"Breads",65.2826,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1085.08405614112
"159","DRK39",7.02,"Low Fat",0.049966527,"Dairy",82.525,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1376.92810895865
"160","DRI39",13.8,"Low Fat",0.097212998,"Dairy",58.293,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,959.772401230164
"161","FDV04",7.825,"Regular",0.150863781,"Frozen Foods",158.0288,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2191.33051398686
"162","NCN14",19.1,"Low Fat",0.091900406,"Others",182.5608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2978.93229379843
"163","FDH08",7.51,"Low Fat",0.017414576,"Fruits and Vegetables",231.101,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3873.15059992297
"164","FDS20",8.85,"Low Fat",0.053866912,"Fruits and Vegetables",183.0292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2684.68364211697
"165","FDV40",17.35,"Low Fat",0.014714625,"Frozen Foods",75.4038,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1138.15709592257
"166","FDZ48",17.75,"Low Fat",0.127140836,"Baking Goods",110.5544,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,218.816312481657
"167","FDS24",12.5,"Regular",0.061923154,"Baking Goods",87.5514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2474.22121739736
"168","FDK44",16.6,"Low Fat",0.122417514,"Fruits and Vegetables",174.3738,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2788.04166274009
"169","FDS48",15.15,"Low Fat",0,"Baking Goods",150.4708,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2291.81611177315
"170","FDK26",5.46,"Regular",0.053858378,"Canned",186.924,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,552.014712879894
"171","FDD23",9.5,"Regular",0.048784266,"Starchy Foods",188.5898,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3589.02294005991
"172","NCH54",13.5,"Low Fat",0.073080167,"Household",161.492,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3006.15567921851
"173","NCP14",8.275,"Low Fat",0.184602443,"Household",106.5306,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,270.469150909673
"174","FDM60",10.8,"Regular",0.080582001,"Baking Goods",39.4138,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,137.74744540792
"175","FDV24",5.635,"Low Fat",0.103856487,"Baking Goods",151.305,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2272.60123540984
"176","FDH08",7.51,"Low Fat",0.017500079,"Fruits and Vegetables",228.801,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3416.33646843353
"177","FDS12",12.5,"Low Fat",0.173275373,"Baking Goods",127.6362,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2935.43946628348
"178","FDR39",12.5,"Low Fat",0.083393481,"Meat",180.6292,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4692.30460004239
"179","FDP12",12.5,"Regular",0.0450476,"Baking Goods",36.4874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,1597.58060263863
"180","DRF60",12.5,"Low Fat",0.051816577,"Soft Drinks",236.4564,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5637.90094938167
"181","FDC09",15.5,"Regular",0.026297031,"Fruits and Vegetables",102.7332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1881.04833905101
"182","FDF50",4.905,"Low Fat",0.117808305,"Canned",198.5768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2737.32451935557
"183","FDG28",9.285,"Regular",0.049270974,"Frozen Foods",243.9144,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3700.376827792
"184","NCE19",8.97,"Low Fat",0.093540749,"Household",55.4956,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,772.691050049044
